antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'sausage'}),frozenset({'bottled beer'}),0.060348861,0.045311769,0.003341576,0.055370986,1.222000085,1,0.000607062,1.010648854,0.193337127,0.032658393,0.010536651,0.064558649
frozenset({'bottled beer'}),frozenset({'sausage'}),0.045311769,0.060348861,0.003341576,0.073746313,1.222000085,1,0.000607062,1.014464128,0.190291915,0.032658393,0.0142579,0.064558649
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759808,0.122101183,0.005146027,0.136283186,1.116149595,1,0.00053551,1.016419737,0.108146333,0.033261339,0.016154485,0.08921439
frozenset({'other vegetables'}),frozenset({'frankfurter'}),0.122101183,0.037759808,0.005146027,0.042145594,1.116149595,1,0.00053551,1.004578761,0.118536153,0.033261339,0.004557891,0.08921439
frozenset({'yogurt'}),frozenset({'sausage'}),0.0858785,0.060348861,0.005747511,0.06692607,1.108986474,1,0.000564841,1.007048969,0.107508408,0.040913416,0.006999629,0.081082083
frozenset({'sausage'}),frozenset({'yogurt'}),0.060348861,0.0858785,0.005747511,0.095238095,1.108986474,1,0.000564841,1.010344815,0.104587482,0.040913416,0.010238896,0.081082083
frozenset({'pastry'}),frozenset({'sausage'}),0.051727595,0.060348861,0.003207913,0.062015504,1.027616816,1,8.62E-05,1.001776835,0.028340616,0.02946593,0.001773683,0.057585825
frozenset({'sausage'}),frozenset({'pastry'}),0.060348861,0.051727595,0.003207913,0.053156146,1.027616816,1,8.62E-05,1.001508751,0.02860064,0.02946593,0.001506478,0.057585825
frozenset({'sausage'}),frozenset({'soda'}),0.060348861,0.097106195,0.005948005,0.098560354,1.014974936,1,8.78E-05,1.001613152,0.015701568,0.039258933,0.001610554,0.079906468
frozenset({'soda'}),frozenset({'sausage'}),0.097106195,0.060348861,0.005948005,0.061252581,1.014974936,1,8.78E-05,1.000962687,0.016340788,0.039258933,0.000961762,0.079906468
frozenset({'citrus fruit'}),frozenset({'yogurt'}),0.053131057,0.0858785,0.004611375,0.086792453,1.01064239,1,4.86E-05,1.001000816,0.011121204,0.034311288,0.000999815,0.070244475
frozenset({'yogurt'}),frozenset({'citrus fruit'}),0.0858785,0.053131057,0.004611375,0.053696498,1.01064239,1,4.86E-05,1.000597527,0.011519609,0.034311288,0.00059717,0.070244475
frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.06957161,0.047584041,0.003341576,0.04803074,1.009387581,1,3.11E-05,1.000469237,0.00999569,0.029359953,0.000469017,0.059127729
frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.047584041,0.06957161,0.003341576,0.070224719,1.009387581,1,3.11E-05,1.000702438,0.009764929,0.029359953,0.000701945,0.059127729
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.034017243,0.110004678,0.003742565,0.110019646,1.000136068,1,5.09E-07,1.000016819,0.000140841,0.026679371,1.68E-05,0.072020759
frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.110004678,0.034017243,0.003742565,0.034021871,1.000136068,1,5.09E-07,1.000004792,0.000152866,0.026679371,4.79E-06,0.072020759
