support,itemsets
0.004009891,frozenset({'Instant food products'})
0.021386086,frozenset({'UHT-milk'})
0.008086614,frozenset({'baking powder'})
0.033950411,frozenset({'beef'})
0.021787075,frozenset({'berries'})
0.016574216,frozenset({'beverages'})
0.045311769,frozenset({'bottled beer'})
0.060683018,frozenset({'bottled water'})
0.037626144,frozenset({'brown bread'})
0.03522021,frozenset({'butter'})
0.017576689,frozenset({'butter milk'})
0.0061485,frozenset({'cake bar'})
0.00441088,frozenset({'candles'})
0.014368776,frozenset({'candy'})
0.046915725,frozenset({'canned beer'})
0.007685625,frozenset({'canned fish'})
0.005480184,frozenset({'canned vegetables'})
0.011829179,frozenset({'cat food'})
0.012029673,frozenset({'chewing gum'})
0.027868743,frozenset({'chicken'})
0.023591526,frozenset({'chocolate'})
0.004009891,frozenset({'chocolate marshmallow'})
0.053131057,frozenset({'citrus fruit'})
0.004945532,frozenset({'cling film/bags'})
0.031611308,frozenset({'coffee'})
0.006549489,frozenset({'condensed milk'})
0.023658357,frozenset({'cream cheese '})
0.033683085,frozenset({'curd'})
0.00307425,frozenset({'curd cheese'})
0.023591526,frozenset({'dessert'})
0.008621266,frozenset({'detergent'})
0.004878701,frozenset({'dish cleaner'})
0.009022255,frozenset({'dishes'})
0.004477712,frozenset({'dog food'})
0.037091492,frozenset({'domestic eggs'})
0.004277217,frozenset({'finished products'})
0.009757402,frozenset({'flour'})
0.004611375,frozenset({'flower (seeds)'})
0.037759808,frozenset({'frankfurter'})
0.0061485,frozenset({'frozen dessert'})
0.006816815,frozenset({'frozen fish'})
0.016774711,frozenset({'frozen meals'})
0.004811869,frozenset({'frozen potato products'})
0.028002406,frozenset({'frozen vegetables'})
0.034017243,frozenset({'fruit/vegetable juice'})
0.014435608,frozenset({'grapes'})
0.017108869,frozenset({'ham'})
0.021853906,frozenset({'hamburger meat'})
0.014702934,frozenset({'hard cheese'})
0.01055938,frozenset({'herbs'})
0.003007418,frozenset({'house keeping products'})
0.013700461,frozenset({'hygiene articles'})
0.015170755,frozenset({'ice cream'})
0.00394306,frozenset({'instant coffee'})
0.006883646,frozenset({'liquor'})
0.004477712,frozenset({'liquor (appetizer)'})
0.003341576,frozenset({'liver loaf'})
0.017910847,frozenset({'long life bakery product'})
0.032212792,frozenset({'margarine'})
0.005012364,frozenset({'mayonnaise'})
0.016841542,frozenset({'meat'})
0.015772238,frozenset({'misc. beverages'})
0.0061485,frozenset({'mustard'})
0.022121232,frozenset({'napkins'})
0.038895943,frozenset({'newspapers'})
0.014903428,frozenset({'oil'})
0.02024995,frozenset({'onions'})
0.122101183,frozenset({'other vegetables'})
0.008487603,frozenset({'packaged fruit/vegetables'})
0.008086614,frozenset({'pasta'})
0.051727595,frozenset({'pastry'})
0.005680679,frozenset({'pet care'})
0.00527969,frozenset({'photo/film'})
0.008955423,frozenset({'pickled vegetables'})
0.049054334,frozenset({'pip fruit'})
0.003207913,frozenset({'popcorn'})
0.037091492,frozenset({'pork'})
0.007819288,frozenset({'pot plants'})
0.010158391,frozenset({'processed cheese'})
0.010492548,frozenset({'red/blush wine'})
0.003274744,frozenset({'rice'})
0.005480184,frozenset({'roll products '})
0.110004678,frozenset({'rolls/buns'})
0.06957161,frozenset({'root vegetables'})
0.005948005,frozenset({'salt'})
0.018779656,frozenset({'salty snack'})
0.060348861,frozenset({'sausage'})
0.007084141,frozenset({'seasonal products'})
0.009490076,frozenset({'semi-finished bread'})
0.047584041,frozenset({'shopping bags'})
0.014034619,frozenset({'sliced cheese'})
0.097106195,frozenset({'soda'})
0.010024728,frozenset({'soft cheese'})
0.003207913,frozenset({'soups'})
0.00307425,frozenset({'sparkling wine'})
0.013967787,frozenset({'specialty bar'})
0.004811869,frozenset({'specialty cheese'})
0.015972733,frozenset({'specialty chocolate'})
0.006683152,frozenset({'spread cheese'})
0.017710352,frozenset({'sugar'})
0.004544543,frozenset({'sweet spreads'})
0.067767159,frozenset({'tropical fruit'})
0.005346521,frozenset({'turkey'})
0.003408407,frozenset({'vinegar'})
0.01851233,frozenset({'waffles'})
0.043707813,frozenset({'whipped/sour cream'})
0.023992515,frozenset({'white bread'})
0.011695516,frozenset({'white wine'})
0.157922876,frozenset({'whole milk'})
0.0858785,frozenset({'yogurt'})
0.004009891,frozenset({'zwieback'})
0.004678206,"frozenset({'beef', 'whole milk'})"
0.004678206,"frozenset({'other vegetables', 'bottled beer'})"
0.004009891,"frozenset({'rolls/buns', 'bottled beer'})"
0.003341576,"frozenset({'sausage', 'bottled beer'})"
0.007150972,"frozenset({'whole milk', 'bottled beer'})"
